Altium Designer Pick and Place Locations
D:\Dropbox\O-Scope Probe\Probe-Scope - PCB\Project Outputs for Probe-Scope v1.0\Pick Place for Probe-Scope v1.0(Standard Config).csv

========================================================================================================================
File Design Information:

Date:       21/07/19
Time:       21:56
Revision:   Not in VersionControl
Variant:    Standard Config
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C22","6.3V","BottomLayer","0402(1005)","1370.000","1265.000","360",""
"C21","6.3V","BottomLayer","0402(1005)","1370.000","1310.000","360",""
"C20","6.3V","BottomLayer","0402(1005)","900.000","980.000","90",""
"C19","6.3V","BottomLayer","0402(1005)","640.000","1025.000","90",""
"C18","6.3V","BottomLayer","0402(1005)","545.000","1120.000","90",""
"C17","6.3V","BottomLayer","0402(1005)","883.622","1225.000","360",""
"C16","6.3V","BottomLayer","0402(1005)","715.000","800.000","270",""
"C15","6.3V","BottomLayer","0402(1005)","850.000","800.000","270",""
"C14","6.3V","BottomLayer","0402(1005)","750.000","1225.000","180",""
"C13","6.3V","TopLayer","0402(1005)","460.000","1170.000","270",""
"C12","10V","TopLayer","0402(1005)","420.000","1170.000","270",""
"C10","6.3V","TopLayer","0402(1005)","310.000","1335.000","90",""
"C9","6.3V","TopLayer","0402(1005)","2195.000","655.000","90",""
"C8","6.3V","BottomLayer","0402(1005)","1800.000","1125.000","180",""
"C7","6.3V","BottomLayer","0402(1005)","1855.000","720.000","360",""
"C6","6.3V","BottomLayer","0402(1005)","2055.000","735.000","90",""
"C5","6.3V","BottomLayer","0402(1005)","1930.000","980.000","360",""
"C4","6.3V","BottomLayer","0402(1005)","1950.000","720.000","180",""
"C3","6.3V","BottomLayer","0402(1005)","2030.000","985.000","360",""
"C2","6.3V","BottomLayer","0402(1005)","2030.000","945.000","360",""
"C1","6.3V","BottomLayer","0402(1005)","1835.000","980.000","360",""
"U9","MIC23050_1V8","TopLayer","MCP_8_MLF","600.000","665.000","270",""
"U6","MIC23050_3V","TopLayer","MCP_8_MLF","875.000","665.000","270",""
"U5","DSC1103","TopLayer","MCHP_H5A","1825.000","1190.000","360",""
"U4","S70KS128","TopLayer","Cypress-VAA024","1349.370","1299.370","90",""
"U2","LCMXO2-4000","TopLayer","132_Ball_csBGA_MachXO2","1350.000","975.000","90",""
"U1","AD9481BSUZ-250","TopLayer","QFP80P1200X1200X120-44N","1825.000","850.000","270","Single ADC Pipelined 250Msps 8-bit Parallel/LVDS 44-Pin TQFP Tray"
"R24","Res1","TopLayer","0402(1005)","2500.000","975.000","90",""
"R25","Res1","TopLayer","0402(1005)","2450.000","975.000","90",""
"R26","Res1","TopLayer","0402(1005)","2475.000","875.000","90",""
"R27","Res1","TopLayer","0402(1005)","2400.000","900.000","360",""
"R28","Res1","TopLayer","0402(1005)","2400.000","850.000","360",""
